name,calories,protein,fat,carbohydrates,diet_type,category,region,meal_time
Rasam,182.0,13.6,6.9,37.0,vegan,dinner,North India,night
Pakora,170.2,19.1,36.6,24.6,non-vegetarian,dinner,North India,morning
Misal Pav,423.1,14.4,16.1,62.9,eggetarian,breakfast,East India,evening
Lassi,230.8,13.3,16.2,79.3,eggetarian,snack,West India,morning
Baingan Bharta,534.8,29.2,37.5,25.5,eggetarian,lunch,East India,morning
Palak Paneer,333.1,24.0,28.7,40.7,eggetarian,snack,West India,night
Jalebi,301.5,19.7,13.7,51.7,eggetarian,dessert,South India,night
Mutton Curry,525.0,12.8,30.9,31.6,vegetarian,lunch,East India,evening
Aloo Tikki,526.1,9.6,15.2,78.5,non-vegetarian,lunch,East India,evening
Bhindi Masala,544.7,27.7,16.9,71.0,vegetarian,lunch,North India,afternoon
Kheer,341.6,24.9,27.2,53.1,eggetarian,dessert,East India,evening
Jalebi,553.3,29.2,6.7,26.9,vegan,dinner,North India,evening
Pakora,300.8,9.8,19.0,39.2,non-vegetarian,dessert,East India,night
Gulab Jamun,439.6,26.7,10.7,36.8,eggetarian,dessert,South India,afternoon
Roti,474.2,23.8,21.1,69.2,non-vegetarian,breakfast,South India,afternoon
Khichdi,317.9,2.9,6.5,51.9,non-vegetarian,snack,Pan India,afternoon
Vada Pav,595.6,5.8,1.9,21.0,vegan,dinner,North India,night
Roti,335.4,23.1,17.5,59.6,vegan,dessert,South India,morning
Idli,348.6,24.1,21.4,51.2,non-vegetarian,snack,East India,afternoon
Tandoori Chicken,509.7,7.3,10.4,43.8,vegan,dinner,West India,evening
Paneer Tikka,186.8,17.9,31.8,61.3,vegan,dessert,Pan India,night
Shrikhand,471.8,25.6,24.5,27.8,eggetarian,lunch,West India,night
Masala Chai,174.5,12.0,3.9,55.0,vegan,breakfast,Pan India,morning
Aloo Tikki,491.1,17.6,8.0,60.9,vegan,dinner,South India,afternoon
Chicken 65,156.2,22.9,37.6,44.3,non-vegetarian,dessert,South India,evening
Kheer,132.8,15.1,24.3,12.1,eggetarian,dessert,South India,afternoon
Curd Rice 79,128.7,7.8,4.4,55.1,vegetarian,lunch,Pan India,morning
Aloo Tikki 96,554.6,21.7,26.6,70.4,non-vegetarian,lunch,North India,morning
Masala Chai 48,589.1,3.7,19.3,33.5,vegetarian,lunch,Pan India,night
Vegetable Pulao 26,184.9,25.9,1.9,50.3,vegan,dessert,Pan India,evening
Jalebi 13,585.2,8.2,14.3,68.9,vegan,breakfast,South India,evening
Bhindi Masala 59,282.4,15.0,19.4,27.7,vegetarian,snack,South India,night
Veg Momos 4,238.5,18.6,11.2,24.8,non-vegetarian,lunch,South India,evening
Misal Pav 26,547.0,19.9,38.9,14.4,eggetarian,breakfast,Pan India,afternoon
Palak Paneer 25,233.4,28.1,37.6,78.4,vegan,dinner,North India,evening
Dhokla 89,249.5,18.2,5.8,62.1,vegan,lunch,Pan India,night
Lemon Rice 37,333.6,10.7,27.6,69.6,non-vegetarian,breakfast,North India,night
Shrikhand 83,385.5,21.6,12.9,75.1,eggetarian,breakfast,Pan India,night
Malai Kofta 7,368.7,15.3,13.2,19.6,non-vegetarian,snack,South India,morning
Lassi 83,100.6,15.3,10.7,12.4,non-vegetarian,breakfast,East India,afternoon
Fish Curry 66,592.0,24.4,13.6,72.3,vegan,lunch,West India,morning
Gajar Halwa 27,425.4,20.4,19.5,72.4,eggetarian,breakfast,North India,morning
Tandoori Chicken 17,151.9,11.3,10.8,41.2,vegetarian,dinner,Pan India,evening
Aloo Paratha 32,411.2,5.2,10.8,61.2,non-vegetarian,dessert,East India,evening
Roti 7,113.9,3.9,21.0,18.9,non-vegetarian,lunch,West India,morning
Gajar Halwa 89,390.7,27.0,30.5,67.5,eggetarian,snack,East India,morning
Dhokla 19,522.3,27.8,31.2,65.3,vegetarian,dessert,East India,morning
Shrikhand 54,179.3,10.7,38.0,76.9,eggetarian,dessert,East India,morning
Masala Chai 91,201.7,8.5,1.1,11.8,vegetarian,breakfast,Pan India,evening
Hakka Noodles 66,219.9,26.6,31.4,65.8,eggetarian,dinner,North India,afternoon
Vegetable Pulao 73,160.8,3.3,7.0,41.2,vegetarian,snack,North India,afternoon
Shrikhand 34,150.9,28.4,17.4,78.8,eggetarian,snack,North India,night
Kadhi 4,352.5,14.9,23.7,53.1,eggetarian,lunch,Pan India,night
Baingan Bharta 85,519.5,10.4,17.3,22.7,eggetarian,lunch,Pan India,evening
Jalebi 34,307.6,6.4,28.2,37.3,non-vegetarian,breakfast,North India,night
Sambar 81,448.4,9.1,1.1,73.8,vegan,breakfast,North India,evening
Hakka Noodles 61,452.2,12.8,12.9,60.4,vegan,lunch,West India,evening
Kofta Curry 61,462.8,27.9,3.8,65.6,vegetarian,dinner,Pan India,afternoon
Chicken 65 79,145.4,12.7,21.2,49.5,non-vegetarian,dessert,South India,night
Kheer 15,348.4,17.5,13.0,47.4,vegan,dessert,South India,night
Malai Kofta 27,574.5,16.4,12.0,20.5,eggetarian,dessert,East India,night
Khichdi 46,343.8,3.1,13.5,14.3,vegetarian,dinner,South India,morning
Aloo Paratha 27,469.1,24.4,4.4,53.9,vegetarian,dessert,West India,evening
Bhindi Masala 55,175.1,20.1,22.6,44.8,non-vegetarian,lunch,West India,night
Tamarind Rice 7,520.2,9.9,24.0,51.9,eggetarian,lunch,North India,morning
Upma 66,183.4,21.1,13.5,50.7,vegetarian,breakfast,West India,morning
Vada Pav 99,353.3,28.4,16.2,73.6,eggetarian,dinner,South India,evening
Jalebi 79,101.0,21.9,31.3,10.6,vegetarian,snack,East India,night
Egg Curry 24,162.5,12.9,19.0,24.5,vegan,lunch,West India,afternoon
Malai Kofta 31,147.3,2.1,13.9,22.1,vegetarian,snack,South India,morning
Tamarind Rice 41,239.6,26.0,37.5,63.8,eggetarian,dessert,North India,evening
Baingan Bharta 50,299.4,16.8,9.8,55.2,non-vegetarian,dinner,North India,night
Pakora 71,163.3,29.4,34.4,71.5,eggetarian,snack,Pan India,morning
Sambar 32,459.5,23.3,30.8,18.4,vegan,snack,Pan India,morning
Chicken Biryani 99,132.3,11.8,14.9,12.8,eggetarian,lunch,West India,afternoon
Chicken Biryani 50,467.1,7.1,6.3,77.3,vegan,snack,East India,evening
Pav Bhaji 2,291.2,2.8,5.7,58.6,vegetarian,snack,North India,night
Baingan Bharta 72,298.6,7.0,12.3,46.7,non-vegetarian,breakfast,West India,night
Gajar Halwa 60,366.4,25.7,24.7,44.6,eggetarian,breakfast,North India,night
Shrikhand 53,455.6,16.6,38.6,42.1,vegan,dinner,South India,night
Gajar Halwa 76,266.7,8.8,12.8,69.8,eggetarian,lunch,West India,morning
Dal Tadka 56,441.3,9.9,27.4,70.0,vegetarian,dessert,West India,morning
Egg Curry 93,350.4,3.8,27.8,79.4,vegetarian,dessert,South India,evening
Dal Tadka 49,505.6,5.1,35.3,52.3,vegan,lunch,Pan India,evening
Veg Momos 11,312.6,19.2,24.6,21.4,eggetarian,dessert,North India,night
Thepla 56,187.0,8.9,31.2,20.1,vegan,dessert,North India,evening
Palak Paneer 86,308.5,15.1,36.4,29.9,vegan,dinner,South India,afternoon
Dal Tadka 66,114.7,24.9,1.4,61.0,vegan,breakfast,East India,afternoon
Jalebi 52,478.7,14.8,8.5,39.7,non-vegetarian,dessert,West India,afternoon
Dhokla 28,544.0,17.7,32.8,15.5,vegetarian,dinner,North India,morning
Curd Rice 97,387.7,6.1,3.6,71.8,eggetarian,snack,East India,evening
Veg Momos 81,347.9,28.7,30.5,46.4,vegetarian,lunch,Pan India,evening
Rasam 67,587.8,7.6,14.4,45.1,eggetarian,dinner,Pan India,night
Besan Chilla 41,330.2,24.2,10.7,71.8,eggetarian,lunch,Pan India,evening
Kofta Curry 31,295.8,18.6,9.3,62.3,eggetarian,dessert,Pan India,afternoon
Upma 63,369.9,14.0,16.7,67.1,eggetarian,dessert,East India,evening
Chole Bhature 10,576.9,19.6,3.8,48.0,eggetarian,dinner,South India,night
Paneer Butter Masala 41,216.4,9.3,11.2,75.0,non-vegetarian,dinner,North India,night
Hakka Noodles 73,303.1,2.7,12.7,15.5,non-vegetarian,dessert,North India,morning
Rajma Chawal 19,436.6,19.8,14.6,51.8,non-vegetarian,lunch,East India,evening
Vegetable Pulao 23,104.8,22.3,4.4,42.2,vegetarian,lunch,South India,evening
Samosa 61,498.2,6.1,34.7,48.2,vegan,lunch,North India,evening
Shrikhand 90,486.8,3.9,33.4,36.9,eggetarian,dessert,East India,evening
Besan Chilla 9,152.0,18.8,24.4,36.1,vegan,snack,Pan India,morning
Upma 64,565.3,26.5,7.4,66.6,vegetarian,snack,North India,morning
Idli 44,278.7,21.4,26.2,52.9,eggetarian,snack,North India,afternoon
Lassi 82,354.8,11.4,33.3,49.7,eggetarian,snack,North India,afternoon
Bhindi Masala 37,344.7,29.7,34.5,43.6,vegan,dessert,West India,evening
Samosa 66,167.4,29.4,34.8,22.2,non-vegetarian,breakfast,East India,afternoon
Vegetable Pulao 18,249.3,2.4,26.9,22.4,vegetarian,dessert,South India,afternoon
Malai Kofta 89,429.0,9.3,2.0,59.5,vegetarian,breakfast,South India,night
Egg Curry 13,337.8,4.6,26.6,37.9,vegetarian,breakfast,North India,afternoon
Egg Curry 9,577.6,22.8,21.7,36.3,non-vegetarian,lunch,North India,morning
Chicken Biryani 46,320.0,14.9,28.1,44.6,non-vegetarian,dessert,East India,morning
Egg Curry 63,258.1,27.1,7.5,63.4,non-vegetarian,lunch,South India,night
Sambar 37,306.2,14.5,20.8,34.0,eggetarian,dinner,West India,afternoon
Besan Chilla 37,449.5,4.0,31.9,70.6,vegan,snack,East India,night
Kadhi 88,208.8,6.5,2.3,26.4,vegan,breakfast,South India,morning
Fish Curry 81,421.2,21.7,20.1,17.2,eggetarian,breakfast,Pan India,afternoon
Pav Bhaji 3,282.2,16.0,13.8,55.6,vegan,dessert,South India,afternoon
Hakka Noodles 22,362.3,4.9,1.5,39.3,vegetarian,lunch,Pan India,evening
Chicken Biryani 22,202.7,26.9,38.2,59.6,non-vegetarian,breakfast,North India,evening
Pav Bhaji 64,209.8,28.3,37.8,29.9,vegan,breakfast,West India,afternoon
Baingan Bharta 10,585.5,2.4,16.8,76.0,vegetarian,snack,East India,afternoon
Kofta Curry 38,430.4,17.2,30.9,53.8,vegan,dessert,West India,evening
Kheer 97,198.6,20.0,34.9,66.2,eggetarian,dessert,East India,night
Tandoori Chicken 98,593.4,11.8,36.9,59.8,eggetarian,breakfast,South India,morning
Samosa 26,289.9,12.0,7.6,42.5,vegan,dinner,West India,morning
Jalebi 19,110.2,10.4,31.4,75.2,eggetarian,lunch,East India,evening
Paneer Butter Masala 33,343.7,24.7,14.1,72.5,vegetarian,dessert,East India,afternoon
Tamarind Rice 32,208.1,5.6,7.3,23.6,eggetarian,lunch,South India,night
Shrikhand 69,424.9,8.1,34.4,61.4,vegetarian,breakfast,Pan India,afternoon
Poha 52,497.6,18.0,12.5,74.2,vegetarian,breakfast,Pan India,afternoon
Sambar 18,432.2,26.8,23.8,44.8,vegan,breakfast,South India,evening
Chicken 65 55,184.3,17.0,15.5,58.0,vegetarian,snack,North India,night
Rajma Chawal 16,515.8,26.5,17.8,54.6,vegan,breakfast,North India,night
Poha 89,182.5,12.0,3.4,12.9,eggetarian,dinner,Pan India,night
Pav Bhaji 68,116.2,23.5,10.0,24.5,non-vegetarian,snack,South India,afternoon
Idli 39,464.6,16.6,17.7,38.2,vegan,snack,Pan India,night
Bhindi Masala 66,467.8,20.3,20.2,53.5,vegetarian,breakfast,South India,afternoon
Chole Bhature 46,264.1,22.4,12.8,51.1,vegetarian,snack,Pan India,morning
Vegetable Pulao 26,221.4,24.8,34.3,29.4,non-vegetarian,dessert,East India,afternoon
Mutton Curry 31,327.8,11.0,7.7,60.9,eggetarian,snack,North India,afternoon
Kadhi 52,477.9,7.0,39.2,77.6,vegetarian,snack,East India,night
Vegetable Pulao 29,514.9,20.2,16.6,12.1,non-vegetarian,dessert,South India,afternoon
Dal Tadka 27,240.8,10.0,27.2,33.8,eggetarian,lunch,South India,morning
Chole Bhature 60,217.5,18.8,27.3,22.3,vegan,lunch,South India,evening
Palak Paneer 19,580.8,3.0,30.2,58.1,vegetarian,lunch,South India,morning
Chole Bhature 59,509.1,18.7,17.7,10.6,non-vegetarian,dinner,South India,afternoon
Lassi 10,168.5,8.3,27.8,50.4,eggetarian,snack,South India,evening
Gulab Jamun 90,392.9,27.6,34.8,36.8,vegan,lunch,South India,evening
Sambar 53,272.9,25.3,23.2,14.9,non-vegetarian,lunch,West India,morning
Gajar Halwa 71,472.2,12.2,6.6,34.7,vegetarian,lunch,East India,morning
Bhindi Masala 85,189.3,27.6,19.7,13.4,eggetarian,breakfast,North India,afternoon
Vegetable Pulao 82,326.6,27.8,4.3,52.6,vegetarian,dessert,West India,night
Mutton Curry 16,321.3,17.2,12.3,22.7,vegetarian,breakfast,South India,afternoon
Egg Curry 3,412.2,11.4,34.0,28.9,vegetarian,dessert,East India,morning
Khichdi 89,368.4,11.2,17.0,54.5,non-vegetarian,snack,Pan India,night
Vada Pav 60,132.3,23.6,20.2,62.9,vegetarian,snack,East India,afternoon
Misal Pav 78,498.0,13.7,35.2,70.9,vegan,dinner,East India,night
Kofta Curry 90,137.5,11.6,2.2,50.6,vegan,breakfast,Pan India,morning
Thepla 53,156.8,14.0,20.3,14.5,non-vegetarian,dessert,East India,evening
Masala Chai 90,193.0,27.2,31.1,11.8,vegan,breakfast,Pan India,morning
Veg Momos 18,269.1,28.8,34.1,58.7,vegetarian,dessert,Pan India,night
Palak Paneer 79,519.0,10.3,37.7,10.0,non-vegetarian,breakfast,East India,night
Rasam 9,594.1,22.5,32.3,53.4,vegetarian,snack,South India,morning
Veg Momos 67,554.9,8.1,14.4,38.9,eggetarian,lunch,East India,evening
Bhindi Masala 14,150.9,27.6,38.3,50.3,eggetarian,snack,East India,afternoon
Mutton Curry 24,302.8,24.6,24.0,64.1,vegan,dessert,East India,afternoon
Vegetable Pulao 36,106.4,3.8,24.8,35.9,vegetarian,lunch,Pan India,night
Aloo Tikki 77,593.4,25.7,4.8,18.8,non-vegetarian,lunch,Pan India,morning
Pakora 50,246.4,23.7,35.0,41.4,eggetarian,snack,East India,afternoon
Dosa 92,409.6,6.8,2.6,64.7,non-vegetarian,dinner,South India,night
Malai Kofta 94,351.3,16.2,20.7,80.0,vegan,dessert,East India,evening
Mutton Curry 29,358.1,8.0,33.5,58.0,vegetarian,lunch,Pan India,morning
Besan Chilla 48,406.1,5.4,31.6,34.7,vegan,lunch,South India,afternoon
Vegetable Pulao 53,250.0,18.0,12.3,62.8,vegetarian,dinner,South India,night
Bhindi Masala 79,379.6,7.6,8.7,30.7,vegan,lunch,South India,night
Dhokla 77,396.3,12.0,1.1,10.9,non-vegetarian,dinner,South India,night
Chicken 65 34,170.0,29.4,17.9,48.3,eggetarian,breakfast,South India,night
Besan Chilla 72,358.3,4.9,36.4,76.2,eggetarian,dessert,South India,evening
Upma 72,484.1,13.7,36.0,61.6,vegan,dinner,Pan India,evening
Gajar Halwa 17,180.9,13.5,34.0,41.3,non-vegetarian,breakfast,Pan India,night
Bhindi Masala 34,112.9,8.7,11.9,70.6,vegetarian,dessert,West India,afternoon
Paneer Tikka 83,263.9,10.5,20.3,30.0,eggetarian,dinner,North India,afternoon
Baingan Bharta 23,487.2,11.6,17.1,34.2,vegan,breakfast,South India,afternoon
Chicken 65 21,329.8,13.2,14.1,33.0,vegetarian,dessert,East India,afternoon
Dosa 69,309.9,12.4,21.3,64.1,vegan,snack,North India,night
Sambar 16,585.1,8.5,22.4,49.9,non-vegetarian,breakfast,East India,morning
Rajma Chawal 48,456.7,25.5,14.6,30.3,vegetarian,snack,North India,evening
Samosa 17,490.6,3.3,16.1,12.5,vegetarian,dessert,West India,afternoon
Gajar Halwa 49,475.5,28.5,36.0,58.2,eggetarian,dessert,Pan India,night
Chole Bhature 5,390.2,3.0,5.8,33.2,vegan,dessert,South India,afternoon
Gajar Halwa 33,479.8,26.3,32.4,18.4,eggetarian,lunch,North India,evening
Chole Bhature 99,480.4,6.6,26.7,20.2,eggetarian,lunch,South India,evening
Roti 81,364.8,7.1,5.5,57.9,vegan,dinner,Pan India,night
Rajma Chawal 46,557.0,16.6,15.9,40.9,vegetarian,dessert,West India,afternoon
Masala Chai 6,574.0,7.4,6.2,16.1,eggetarian,lunch,Pan India,night
Poha 49,186.7,21.9,6.0,68.1,vegetarian,breakfast,Pan India,evening
Dosa 76,263.6,29.3,8.0,74.2,vegan,dinner,West India,night
Hakka Noodles 31,300.9,20.6,33.2,67.9,vegan,breakfast,West India,afternoon
Pav Bhaji 34,299.7,10.9,8.5,26.0,non-vegetarian,dinner,Pan India,evening
Aloo Tikki 70,176.9,28.5,24.9,54.8,vegan,breakfast,South India,evening
Veg Momos 49,268.3,27.3,31.8,29.3,eggetarian,lunch,South India,night
Egg Curry 14,556.8,15.9,12.0,28.1,eggetarian,dessert,West India,night
Upma 99,395.5,14.3,23.7,64.2,vegan,snack,South India,night
Vegetable Pulao 1,372.1,5.6,16.7,31.5,eggetarian,lunch,Pan India,morning
Hakka Noodles 27,401.0,6.9,27.4,56.6,vegetarian,snack,South India,evening
Jalebi 59,552.8,15.5,12.6,77.8,vegan,dessert,North India,night
Hakka Noodles 85,109.1,25.2,30.4,30.0,vegetarian,dinner,South India,night
Dosa 2,555.3,11.5,32.4,21.5,eggetarian,snack,South India,afternoon
Bhindi Masala 79,245.5,4.2,35.2,16.4,eggetarian,dessert,Pan India,afternoon
Kheer 65,271.8,25.4,10.2,31.6,vegetarian,snack,North India,morning
Rasam 9,484.4,12.0,17.4,13.7,vegetarian,snack,North India,afternoon
Pav Bhaji 3,305.3,25.2,20.1,48.0,vegan,dinner,East India,evening
Kofta Curry 83,474.4,17.3,19.0,39.3,eggetarian,dessert,North India,evening
Besan Chilla 93,147.5,17.1,39.0,72.3,non-vegetarian,dinner,East India,night
Jalebi 41,519.5,5.9,34.4,75.8,non-vegetarian,dinner,West India,morning
Hakka Noodles 29,387.5,12.2,6.5,24.4,vegan,breakfast,East India,night
Roti 54,143.4,21.2,39.8,55.9,eggetarian,dinner,South India,night
Malai Kofta 60,112.8,7.1,21.6,69.6,eggetarian,dessert,East India,afternoon
Dhokla 90,108.8,11.5,23.9,14.8,non-vegetarian,snack,South India,evening
Rasam 81,160.8,27.8,39.9,47.8,eggetarian,dinner,Pan India,evening
Pakora 35,460.2,18.7,31.4,14.8,non-vegetarian,snack,South India,evening
Bhindi Masala 1,553.6,20.5,25.9,31.9,vegan,dessert,West India,afternoon
Vada Pav 53,497.0,26.9,28.3,57.9,non-vegetarian,breakfast,Pan India,night
Hakka Noodles 44,167.8,12.8,31.6,31.5,vegetarian,breakfast,West India,morning
Besan Chilla 77,361.6,29.2,17.3,44.6,non-vegetarian,snack,West India,afternoon
Curd Rice 12,565.4,27.7,33.8,27.9,non-vegetarian,breakfast,West India,night
Roti 38,120.8,21.9,9.1,11.8,eggetarian,snack,Pan India,afternoon
Kofta Curry 77,158.5,18.4,20.9,57.2,vegan,breakfast,North India,morning
Modak 15,218.4,8.9,29.9,33.0,vegan,dinner,East India,night
Palak Paneer 19,416.4,10.0,8.5,29.3,vegetarian,breakfast,West India,afternoon
Dhokla 78,103.5,21.2,4.6,66.1,eggetarian,snack,South India,evening
Curd Rice 66,567.7,12.6,1.4,30.2,non-vegetarian,snack,North India,night
Upma 61,441.2,27.9,11.6,70.0,vegan,snack,North India,evening
Modak 94,149.4,19.4,35.7,79.8,vegan,lunch,South India,afternoon
Curd Rice 58,215.1,14.9,28.3,74.2,vegan,lunch,West India,evening
Samosa 50,493.3,9.7,39.7,51.8,vegan,lunch,South India,afternoon
Mutton Curry 18,339.2,20.1,29.8,44.7,eggetarian,lunch,North India,morning
Masala Chai 79,442.0,26.4,37.0,14.3,non-vegetarian,dessert,North India,afternoon
Misal Pav 58,129.2,10.2,29.3,13.0,vegan,dinner,South India,evening
Thepla 32,582.7,3.3,7.5,53.8,eggetarian,dessert,South India,night
Malai Kofta 84,156.0,29.6,17.7,36.9,non-vegetarian,dessert,East India,night
Kadhi 34,587.6,13.9,22.7,68.7,vegan,lunch,West India,morning
Pakora 98,136.8,27.7,20.0,16.6,eggetarian,snack,East India,evening
Thepla 21,535.6,6.0,27.4,41.2,eggetarian,lunch,West India,afternoon
Sambar 76,172.4,12.0,17.0,45.1,non-vegetarian,lunch,East India,afternoon
Baingan Bharta 58,280.2,6.5,27.0,28.4,non-vegetarian,snack,North India,morning
Khichdi 26,176.1,11.3,34.3,46.6,eggetarian,dessert,East India,morning
Roti 56,215.1,4.4,16.3,19.7,eggetarian,breakfast,North India,morning
Chicken 65 8,103.0,29.7,7.8,38.1,vegetarian,dessert,East India,afternoon
Misal Pav 10,228.6,5.7,7.9,20.7,vegan,snack,Pan India,afternoon
Dal Tadka 82,386.7,29.0,21.4,39.6,vegan,snack,Pan India,afternoon
Idli 35,177.7,19.2,39.0,74.4,non-vegetarian,breakfast,East India,morning
Tandoori Chicken 86,134.1,4.2,6.8,21.5,vegetarian,dessert,North India,night
Chole Bhature 15,409.9,9.8,1.5,20.9,non-vegetarian,breakfast,North India,evening
Rajma Chawal 13,161.1,18.5,6.9,52.0,non-vegetarian,dessert,West India,evening
Bhindi Masala 67,318.4,15.9,31.6,48.1,vegetarian,dessert,East India,evening
Dal Tadka 16,269.8,29.9,24.5,64.8,vegetarian,snack,East India,night
Malai Kofta 78,413.6,23.8,30.8,71.8,eggetarian,dessert,West India,morning
Tandoori Chicken 45,524.7,22.6,8.6,71.2,non-vegetarian,snack,North India,night
Dal Tadka 13,127.8,21.5,12.8,75.7,eggetarian,breakfast,East India,morning
Idli 84,235.8,4.3,2.2,50.3,non-vegetarian,lunch,North India,evening
Dhokla 98,582.9,14.2,33.6,50.3,eggetarian,dinner,East India,evening
Chole Bhature 56,389.3,17.8,36.3,39.8,vegetarian,dinner,North India,evening
Egg Curry 42,431.7,6.8,27.8,43.1,vegetarian,snack,East India,afternoon
Mutton Curry 70,521.5,27.7,22.7,74.9,vegan,breakfast,West India,evening
Aloo Tikki 9,595.6,8.7,17.2,28.9,non-vegetarian,dinner,Pan India,night
Rajma Chawal 13,294.9,26.3,35.2,16.8,non-vegetarian,dinner,South India,night
Vegetable Pulao 66,104.2,19.9,30.5,63.5,vegan,dessert,West India,evening
Lassi 23,589.8,26.7,14.1,40.2,vegetarian,breakfast,North India,morning
Misal Pav 56,456.0,11.7,11.8,47.9,vegetarian,breakfast,West India,morning
Paneer Butter Masala 58,494.1,10.0,1.8,55.7,eggetarian,snack,South India,night
Vegetable Pulao 51,514.0,10.4,20.9,62.3,non-vegetarian,dinner,East India,night
Khichdi 49,405.0,28.0,3.3,34.9,vegan,dinner,Pan India,afternoon
Aloo Paratha 20,114.0,6.2,38.4,74.0,eggetarian,snack,North India,morning
Bhindi Masala 45,481.0,16.1,4.8,70.6,vegetarian,dinner,North India,afternoon
Fish Curry 44,177.9,20.8,20.5,56.6,vegetarian,dessert,East India,evening
Kheer 93,318.2,14.6,10.0,42.3,vegetarian,dessert,South India,night
Chole Bhature 37,119.6,28.1,16.9,32.8,vegan,lunch,South India,evening
Misal Pav 32,200.3,4.4,4.5,76.4,non-vegetarian,snack,Pan India,evening
Lassi 44,486.9,7.8,20.3,55.7,vegetarian,snack,West India,evening
Shrikhand 7,156.5,19.7,30.5,38.5,vegan,dinner,South India,afternoon
Bhindi Masala 34,291.5,23.8,9.8,19.0,vegetarian,dessert,West India,afternoon
Upma 42,160.8,8.1,2.3,15.2,vegetarian,lunch,Pan India,evening
Butter Naan 64,128.8,14.9,6.1,23.7,eggetarian,dessert,West India,morning
Tamarind Rice 36,310.1,29.1,10.5,58.4,non-vegetarian,breakfast,South India,evening
Chicken 65 32,473.1,27.0,13.6,76.6,non-vegetarian,breakfast,West India,night
Lassi 72,334.8,29.4,37.4,19.0,eggetarian,lunch,West India,evening
Baingan Bharta 67,207.1,18.8,8.2,52.2,non-vegetarian,snack,East India,afternoon
Modak 91,515.0,17.0,32.9,48.9,eggetarian,snack,West India,night
Aloo Tikki 70,427.4,2.9,33.1,50.7,non-vegetarian,lunch,Pan India,evening
Samosa 17,559.2,28.9,24.0,43.7,non-vegetarian,breakfast,Pan India,night
Thepla 39,382.7,24.2,32.1,45.7,non-vegetarian,dessert,Pan India,night
Kofta Curry 77,579.9,29.6,6.0,28.9,vegan,dessert,East India,night
Dosa 10,584.8,11.8,6.5,53.8,eggetarian,dessert,West India,night
Upma 22,250.5,11.7,3.7,46.9,vegetarian,lunch,Pan India,night
Modak 94,314.2,29.4,30.6,43.3,vegan,dessert,South India,afternoon
Paneer Tikka 78,108.8,16.4,32.1,60.6,non-vegetarian,lunch,West India,evening
Pav Bhaji 91,232.4,5.9,18.1,19.8,non-vegetarian,lunch,South India,night
Tandoori Chicken 27,266.2,6.4,30.3,57.3,vegan,dessert,Pan India,morning
Bhindi Masala 64,270.8,25.9,22.8,53.6,non-vegetarian,snack,North India,afternoon
Hakka Noodles 94,523.8,27.9,6.0,15.1,eggetarian,snack,East India,afternoon
Shrikhand 82,474.4,17.4,23.4,43.8,non-vegetarian,dessert,South India,night
Khichdi 58,335.7,28.0,15.7,40.9,vegetarian,lunch,South India,morning
Palak Paneer 29,327.3,27.2,7.1,48.0,vegan,lunch,Pan India,morning
Butter Naan 12,538.8,14.5,37.0,13.8,vegetarian,dessert,North India,morning
Veg Momos 37,351.1,14.1,20.1,29.6,eggetarian,dessert,North India,afternoon
Mutton Curry 24,312.5,22.9,24.5,26.2,vegan,dinner,East India,evening
Curd Rice 80,307.3,9.4,25.9,34.5,vegan,snack,South India,evening
Gulab Jamun 7,399.1,10.4,21.5,13.4,non-vegetarian,snack,East India,evening
